lemma	word	grammemes
АБАЛЯЕВ	АБАЛЯЕВЫХ	мр-жр,мн,пр
АБАЛЯЕВ	АБАЛЯЕВЫМИ	мр-жр,мн,тв
АБАЛЯЕВА	АБАЛЯЕВОЙ	жр,ед,пр
АБАРИН	АБАРИН	мр,ед,им
АБАРИНА	АБАРИНА	жр,ед,им
АБАРИНА	АБАРИНУ	жр,ед,вн
АБАРИН	АБАРИНЫМ	мр-жр,мн,дт
АБАРИН	АБАРИНЕ	мр,ед,пр
АБАРИН	АБАРИНЫ	мр-жр,мн,им
АБАРИН	АБАРИНЫХ	мр-жр,мн,пр
АБАРИН	АБАРИНЫМИ	мр-жр,мн,тв
АБАРИНА	АБАРИНОЙ	жр,ед,пр
АБАРЧУК	АБАРЧУК	жр,0
АБАРЧУК	АБАРЧУКА	мр,ед,вн
АБАРЧУК	АБАРЧУКУ	мр,ед,дт
АБАРЧУК	АБАРЧУКОМ	мр,ед,тв
АБАРЧУК	АБАРЧУКЕ	мр,ед,пр
АБАРЧУК	АБАРЧУКИ	мр-жр,мн,им
АБАРЧУК	АБАРЧУКОВ	мр-жр,мн,вн
АБАРЧУК	АБАРЧУКАМ	мр-жр,мн,дт
АБАРЧУК	АБАРЧУКАМИ	мр-жр,мн,тв
АБАРЧУК	АБАРЧУКАХ	мр-жр,мн,пр
АБАРШАЛИН	АБАРШАЛИН	мр,ед,им
АБАРШАЛИНА	АБАРШАЛИНА	жр,ед,им
АБАРШАЛИНА	АБАРШАЛИНУ	жр,ед,вн
АБАРШАЛИН	АБАРШАЛИНЫМ	мр-жр,мн,дт
АБАРШАЛИН	АБАРШАЛИНЕ	мр,ед,пр
АБАРШАЛИН	АБАРШАЛИНЫ	мр-жр,мн,им
АБАРШАЛИН	АБАРШАЛИНЫХ	мр-жр,мн,пр
АБАРШАЛИН	АБАРШАЛИНЫМИ	мр-жр,мн,тв
АБАРШАЛИНА	АБАРШАЛИНОЙ	жр,ед,пр
АБАТУРОВ	АБАТУРОВ	мр,ед,им
АБАТУРОВА	АБАТУРОВА	жр,ед,им
АБАТУРОВА	АБАТУРОВУ	жр,ед,вн
АБАТУРОВ	АБАТУРОВЫМ	мр-жр,мн,дт
АБАТУРОВ	АБАТУРОВЕ	мр,ед,пр
АБАТУРОВ	АБАТУРОВЫ	мр-жр,мн,им
АБАТУРОВ	АБАТУРОВЫХ	мр-жр,мн,пр
АБАТУРОВ	АБАТУРОВЫМИ	мр-жр,мн,тв
АБАТУРОВА	АБАТУРОВОЙ	жр,ед,пр
АБАШЕЕВ	АБАШЕЕВ	мр,ед,им
АБАШЕЕВА	АБАШЕЕВА	жр,ед,им
